Id,VotoCode,Nombre,ApellidoPaterno,ApellidoMaterno,NombreCompleto,Voto
968,2,Jenny,Álvarez,Vera,Jenny Álvarez Vera,Abstención
923,0,Pedro Pablo,Alvarez-Salamanca,Ramírez,Pedro Pablo Alvarez-Salamanca Ramírez,En Contra
925,1,Pepe,Auth,Stewart,Pepe Auth Stewart,Afirmativo
811,0,Ramón,Barros,Montero,Ramón Barros Montero,En Contra
970,0,Jaime,Bellolio,Avaria,Jaime Bellolio Avaria,En Contra
971,0,Bernardo,Berger,Fett,Bernardo Berger Fett,En Contra
975,0,Daniella,Cicardini,Milla,Daniella Cicardini Milla,En Contra
837,0,Fidel,Espinoza,Sandoval,Fidel Espinoza Sandoval,En Contra
982,1,Iván,Flores,García,Iván Flores García,Afirmativo
984,0,Gonzalo,Fuenzalida,Figueroa,Gonzalo Fuenzalida Figueroa,En Contra
843,0,René Manuel,García,García,René Manuel García García,En Contra
848,0,Rodrigo,González,Torres,Rodrigo González Torres,En Contra
850,0,Javier,Hernández,Hernández,Javier Hernández Hernández,En Contra
987,0,Giorgio,Jackson,Drago,Giorgio Jackson Drago,En Contra
855,1,Carlos Abel,Jarpa,Wevar,Carlos Abel Jarpa Wevar,Afirmativo
862,1,Pablo,Lorenzini,Basso,Pablo Lorenzini Basso,Afirmativo
866,1,Fernando,Meza,Moncada,Fernando Meza Moncada,Afirmativo
875,0,Iván,Norambuena,Farías,Iván Norambuena Farías,En Contra
885,1,José,Pérez,Arriagada,José Pérez Arriagada,Afirmativo
946,0,Leopoldo,Pérez,Lahsen,Leopoldo Pérez Lahsen,En Contra
999,0,Jorge,Rathgeb,Schifferli,Jorge Rathgeb Schifferli,En Contra
1000,0,Luis,Rocafull,López,Luis Rocafull López,En Contra
950,1,René,Saffirio,Espinoza,René Saffirio Espinoza,Afirmativo
1001,0,Raúl,Saldívar,Auger,Raúl Saldívar Auger,En Contra
920,0,Marcelo,Schilling,Rodríguez,Marcelo Schilling Rodríguez,En Contra
897,0,Alejandra,Sepúlveda,Orbenes,Alejandra Sepúlveda Orbenes,En Contra
898,1,Gabriel,Silber,Romo,Gabriel Silber Romo,Afirmativo
957,0,Víctor,Torres,Jeldes,Víctor Torres Jeldes,En Contra
959,0,Enrique,Van Rysselberghe,Herrera,Enrique Van Rysselberghe Herrera,En Contra
913,1,Mario,Venegas,Cárdenas,Mario Venegas Cárdenas,Afirmativo
963,1,Matías,Walker,Prieto,Matías Walker Prieto,Afirmativo
1008,0,Florcita,Alarcón,Rojas,Florcita Alarcón Rojas,En Contra
1010,0,Sebastián,Álvarez,Ramírez,Sebastián Álvarez Ramírez,En Contra
810,1,Gabriel,Ascencio,Mansilla,Gabriel Ascencio Mansilla,Afirmativo
926,0,Nino,Baltolu,Rasera,Nino Baltolu Rasera,En Contra
1012,1,Boris,Barrera,Moreno,Boris Barrera Moreno,Afirmativo
815,0,Sergio,Bobadilla,Muñoz,Sergio Bobadilla Muñoz,En Contra
1015,0,Jorge,Brito,Hasbún,Jorge Brito Hasbún,En Contra
1017,0,Álvaro,Carter,Fernández,Álvaro Carter Fernández,En Contra
1018,0,Natalia,Castillo,Muñoz,Natalia Castillo Muñoz,En Contra
1022,0,Sofía,Cid,Versalovic,Sofía Cid Versalovic,En Contra
1024,0,Luciano,Cruz-Coke,Carvallo,Luciano Cruz-Coke Carvallo,En Contra
1026,0,Mario,Desbordes,Jiménez,Mario Desbordes Jiménez,En Contra
1027,0,Jorge,Durán,Espinoza,Jorge Durán Espinoza,En Contra
1028,0,Eduardo,Durán,Salinas,Eduardo Durán Salinas,En Contra
1029,0,Francisco,Eguiguren,Correa,Francisco Eguiguren Correa,En Contra
1030,0,Camila,Flores,Oporto,Camila Flores Oporto,En Contra
1031,0,Juan,Fuenzalida,Cobo,Juan Fuenzalida Cobo,En Contra
1032,0,Ramón,Galleguillos,Castillo,Ramón Galleguillos Castillo,En Contra
1034,0,Félix,González,Gatica,Félix González Gatica,En Contra
1037,0,Diego,Ibáñez,Cotroneo,Diego Ibáñez Cotroneo,En Contra
1038,0,Marcos,Ilabaca,Cerda,Marcos Ilabaca Cerda,En Contra
1039,0,Pamela,Jiles,Moreno,Pamela Jiles Moreno,En Contra
1040,0,Harry,Jürgensen,Rundshagen,Harry Jürgensen Rundshagen,En Contra
172,0,Carlos,Kuschel,Silva,Carlos Kuschel Silva,En Contra
1045,0,Aracely,Leuquén,Uribe,Aracely Leuquén Uribe,En Contra
1046,0,Andrés,Longton,Herrera,Andrés Longton Herrera,En Contra
660,0,Manuel,Matta,Aragay,Manuel Matta Aragay,En Contra
1050,0,Miguel,Mellado,Suazo,Miguel Mellado Suazo,En Contra
1051,0,Claudia,Mix,Jiménez,Claudia Mix Jiménez,En Contra
1053,0,Cristhian,Moreira,Barros,Cristhian Moreira Barros,En Contra
1054,0,Francesca,Muñoz,González,Francesca Muñoz González,En Contra
1055,0,Nicolás,Noman,Garrido,Nicolás Noman Garrido,En Contra
1056,1,Emilia,Nuyado,Ancapichún,Emilia Nuyado Ancapichún,Afirmativo
1057,0,Erika,Olivera,De La Fuente,Erika Olivera De La Fuente,En Contra
1059,0,Ximena,Ossandón,Irarrázabal,Ximena Ossandón Irarrázabal,En Contra
1062,1,Joanna,Pérez,Olea,Joanna Pérez Olea,Afirmativo
1063,0,Catalina,Pérez,Salinas,Catalina Pérez Salinas,En Contra
1064,0,Pablo,Prieto,Lorca,Pablo Prieto Lorca,En Contra
1070,0,Patricio,Rosas,Barrientos,Patricio Rosas Barrientos,En Contra
1071,1,Gastón,Saavedra,Chandía,Gastón Saavedra Chandía,Afirmativo
1072,0,Gustavo,Sanhueza,Dueñas,Gustavo Sanhueza Dueñas,En Contra
953,0,Frank,Sauerbaum,Muñoz,Frank Sauerbaum Muñoz,En Contra
1075,0,Diego,Schalper,Sepúlveda,Diego Schalper Sepúlveda,En Contra
1079,0,Sebastián,Torrealba,Alvarado,Sebastián Torrealba Alvarado,En Contra
1080,0,Virginia,Troncoso,Hellman,Virginia Troncoso Hellman,En Contra
1081,0,Francisco,Undurraga,Gazitúa,Francisco Undurraga Gazitúa,En Contra
1082,0,Cristóbal,Urruticoechea,Ríos,Cristóbal Urruticoechea Ríos,En Contra
1083,0,Esteban,Velásquez,Núñez,Esteban Velásquez Núñez,En Contra
1084,0,Daniel,Verdessi,Belemmi,Daniel Verdessi Belemmi,En Contra
1085,0,Pablo,Vidal,Rojas,Pablo Vidal Rojas,En Contra
1087,0,Gael,Yeomans,Araya,Gael Yeomans Araya,En Contra
74,0,Jaime,Naranjo,Ortiz,Jaime Naranjo Ortiz,En Contra
