Id,Nombre,Nombre2,ApellidoPaterno,ApellidoMaternos,NombreCompleto,Militancia
74,Jaime,,Naranjo,Ortiz,Jaime Naranjo Ortiz,PS
1055,Nicolás,,Noman,Garrido,Nicolás Noman Garrido,
875,Iván,,Norambuena,Farías,Iván Norambuena Farías,UDI
993,Daniel,,Núñez,Arancibia,Daniel Núñez Arancibia,PC
994,Paulina,,Núñez,Urrutia,Paulina Núñez Urrutia,RN
1056,Emilia,,Nuyado,Ancapichún,Emilia Nuyado Ancapichún,
1057,Erika,,Olivera,De La Fuente,Erika Olivera De La Fuente,
1058,Maite,,Orsini,Pascal,Maite Orsini Pascal,
879,José Miguel,,Ortiz,Novoa,José Miguel Ortiz Novoa,DC
1059,Ximena,,Ossandón,Irarrázabal,Ximena Ossandón Irarrázabal,
1060,Luis,,Pardo,Sáinz,Luis Pardo Sáinz,
1061,Andrea,,Parra,Sauterel,Andrea Parra Sauterel,
995,Diego,,Paulsen,Kehr,Diego Paulsen Kehr,RN
885,José,,Pérez,Arriagada,José Pérez Arriagada,
946,Leopoldo,,Pérez,Lahsen,Leopoldo Pérez Lahsen,RN
1062,Joanna,,Pérez,Olea,Joanna Pérez Olea,
1063,Catalina,,Pérez,Salinas,Catalina Pérez Salinas,
1064,Pablo,,Prieto,Lorca,Pablo Prieto Lorca,
1065,Guillermo,,Ramírez,Diez,Guillermo Ramírez Diez,
999,Jorge,,Rathgeb,Schifferli,Jorge Rathgeb Schifferli,RN
1066,Rolando,,Rentería,Moller,Rolando Rentería Moller,
1067,Hugo,,Rey,Martínez,Hugo Rey Martínez,
1000,Luis,,Rocafull,López,Luis Rocafull López,PS
1068,Camila,,Rojas,Valderrama,Camila Rojas Valderrama,
1069,Leonidas,,Romero,Sáez,Leonidas Romero Sáez,
1070,Patricio,,Rosas,Barrientos,Patricio Rosas Barrientos,PS
1071,Gastón,,Saavedra,Chandía,Gastón Saavedra Chandía,
893,Jorge,,Sabag,Villalobos,Jorge Sabag Villalobos,DC
949,Marcela,,Sabat,Fernández,Marcela Sabat Fernández,RN
950,René,,Saffirio,Espinoza,René Saffirio Espinoza,IND
1001,Raúl,,Saldívar,Auger,Raúl Saldívar Auger,PS
1072,Gustavo,,Sanhueza,Dueñas,Gustavo Sanhueza Dueñas,
1073,Juan,,Santana,Castillo,Juan Santana Castillo,
952,Alejandro,,Santana,Tirachini,Alejandro Santana Tirachini,RN
1074,Marisela,,Santibáñez,Novoa,Marisela Santibáñez Novoa,PC
953,Frank,,Sauerbaum,Muñoz,Frank Sauerbaum Muñoz,RN
1075,Diego,,Schalper,Sepúlveda,Diego Schalper Sepúlveda,
920,Marcelo,,Schilling,Rodríguez,Marcelo Schilling Rodríguez,PS
897,Alejandra,,Sepúlveda,Orbenes,Alejandra Sepúlveda Orbenes,IND
1076,Alexis,,Sepúlveda,Soto,Alexis Sepúlveda Soto,
898,Gabriel,,Silber,Romo,Gabriel Silber Romo,DC
1002,Leonardo,,Soto,Ferrada,Leonardo Soto Ferrada,PS
1077,Raúl,,Soto,Mardones,Raúl Soto Mardones,IND
956,Guillermo,,Teillier,Del Valle,Guillermo Teillier Del Valle,PC
1078,Jaime,,Tohá,González,Jaime Tohá González,
1079,Sebastián,,Torrealba,Alvarado,Sebastián Torrealba Alvarado,
957,Víctor,,Torres,Jeldes,Víctor Torres Jeldes,DC
1003,Renzo,,Trisotti,Martínez,Renzo Trisotti Martínez,UDI
1080,Virginia,,Troncoso,Hellman,Virginia Troncoso Hellman,IND
1081,Francisco,,Undurraga,Gazitúa,Francisco Undurraga Gazitúa,
908,Ignacio,,Urrutia,Bonilla,Ignacio Urrutia Bonilla,UDI
1005,Osvaldo,,Urrutia,Soto,Osvaldo Urrutia Soto,UDI
1082,Cristóbal,,Urruticoechea,Ríos,Cristóbal Urruticoechea Ríos,
1006,Camila,,Vallejo,Dowling,Camila Vallejo Dowling,PC
959,Enrique,,Van Rysselberghe,Herrera,Enrique Van Rysselberghe Herrera,UDI
1083,Esteban,,Velásquez,Núñez,Esteban Velásquez Núñez,
961,Pedro,,Velásquez,Seguel,Pedro Velásquez Seguel,IND
913,Mario,,Venegas,Cárdenas,Mario Venegas Cárdenas,DC
1084,Daniel,,Verdessi,Belemmi,Daniel Verdessi Belemmi,
1085,Pablo,,Vidal,Rojas,Pablo Vidal Rojas,IND
