Id,Descripcion,Fecha,TotalSi,TotalNo,TotalAbstencion,TotalDispensado,Quorum,Resultado,Tipo,TipoCode,ResultadoCode,QuorumCode
33974,"OTROS-Reclamación de la admisibilidad del proyecto de ley, originado en moción de la diputada señora Sepúlveda, doña Alejandra, y de los diputados señores Alinco; Mellado, don Miguel; Mulet; Naranjo; Sepúlveda, don Alexis; Velásquez, don Pedro, y Velásquez, don Esteban, que &quot;Dispone la prórroga de la exigencia al comercio, de boletas electrónicas&quot;.",2020-08-18,57,54,11,0,Quórum Simple,Unánime,Otros,4,2,1
33975,Proyecto de Resolución N°,2020-08-18,74,8,40,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
33976,Proyecto de Resolución N°,2020-08-18,114,0,9,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
33982,Boletín N° 13672-07,2020-08-19,141,3,2,0,3/5,Aprobado,Proyecto de Ley,1,1,7
33983,Boletín N° 13624-13,2020-08-19,147,0,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
33984,Boletín N° 13624-13,2020-08-19,146,1,1,0,Quórum Calificado,Aprobado,Proyecto de Ley,1,1,2
33985,Boletín N° 13624-13,2020-08-19,143,3,2,0,Quórum Calificado,Aprobado,Proyecto de Ley,1,1,2
33986,Boletín N° 13624-13,2020-08-19,80,67,2,0,Quórum Calificado,Aprobado,Proyecto de Ley,1,1,2
33987,Boletín N° 13624-13,2020-08-19,77,70,2,0,Quórum Calificado,Unánime,Proyecto de Ley,1,2,2
33988,Boletín N° 13624-13,2020-08-19,78,63,8,0,Quórum Calificado,Aprobado,Proyecto de Ley,1,1,2
33989,Boletín N° 13624-13,2020-08-19,93,37,19,0,Quórum Calificado,Aprobado,Proyecto de Ley,1,1,2
33990,Boletín N° 13624-13,2020-08-19,92,45,11,0,Quórum Calificado,Aprobado,Proyecto de Ley,1,1,2
33991,Boletín N° 13624-13,2020-08-19,71,70,6,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
33992,Boletín N° 13543-29,2020-08-19,102,13,31,1,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
